output,start,end,top_text,bottom_text
clip02_taurus.mp4,00:00:45,00:01:12,4/6～4/12\n牡牛座の運勢,価値観の刷新と\n調和がテーマ
clip02_taurus.mp4,00:02:20,00:02:47,4/6～4/12\n牡牛座の運勢,直感に従って動き\n豊かな暮らしへ
clip03_gemini.mp4,00:04:01,00:04:28,4/6～4/12\n双子座の運勢,内面を見つめる\n深い言語化の時
clip03_gemini.mp4,00:05:55,00:06:22,4/6～4/12\n双子座の運勢,静かに過ごし\n言葉を待つのが吉
clip04_cancer.mp4,00:07:55,00:08:22,4/6～4/12\n蟹座の運勢,叶えたかったことに\n光が当たるとき
clip04_cancer.mp4,00:09:46,00:10:13,4/6～4/12\n蟹座の運勢,タロットが示す\n開運のヒントは？
clip05_leo.mp4,00:11:44,00:12:11,4/6～4/12\n獅子座の運勢,大きな変容と\n再出発の週
clip05_leo.mp4,00:13:27,00:13:54,4/6～4/12\n獅子座の運勢,新しい自分へ\n勇気を持って一歩
clip06_virgo.mp4,00:15:17,00:15:44,4/6～4/12\n乙女座の運勢,「手放し」が\nテーマの一週間
clip06_virgo.mp4,00:17:05,00:17:32,4/6～4/12\n乙女座の運勢,執着を手放して\n軽やかに前へ
clip07_libra.mp4,00:19:01,00:19:28,4/6～4/12\n天秤座の運勢,周りより自分の\n内なる声に従って
clip07_libra.mp4,00:20:54,00:21:21,4/6～4/12\n天秤座の運勢,自分軸を大切に\n決断する一週間
clip08_scorpio.mp4,00:22:54,00:23:21,4/6～4/12\n蠍座の運勢,感情を抱え込まず\n外へアウトプット
clip08_scorpio.mp4,00:24:48,00:25:15,4/6～4/12\n蠍座の運勢,内側の変容が\n外側に現れる週
clip09_sagittarius.mp4,00:26:48,00:27:15,4/6～4/12\n射手座の運勢,直感が冴え渡る\n一週間
clip09_sagittarius.mp4,00:28:04,00:28:31,4/6～4/12\n射手座の運勢,閃きをそのまま\n行動に移して
clip10_capricorn.mp4,00:29:26,00:29:53,4/6～4/12\n山羊座の運勢,節目となる\n大切な一週間
clip10_capricorn.mp4,00:31:21,00:31:48,4/6～4/12\n山羊座の運勢,次のステージへの\n準備を整えて
clip11_aquarius.mp4,00:33:22,00:33:49,4/6～4/12\n水瓶座の運勢,感情の変容と\nアップデートの時
clip11_aquarius.mp4,00:34:37,00:35:04,4/6～4/12\n水瓶座の運勢,新しい気づきを\n受け入れる週
clip12_pisces.mp4,00:35:58,00:36:25,4/6～4/12\n魚座の運勢,感覚を言葉にする\n移行期の一週間
clip12_pisces.mp4,00:37:13,00:37:40,4/6～4/12\n魚座の運勢,次の行動へ\nつなげるタイミング
